COMPANY NAME,SECURITY TYPE,Symbol_x,ISSUE START DATE,ISSUE END DATE,Issue_price_Upper_Limit,Issue_price_Lower_Limit,ISSUE_Price_RANGE,Listing Date,Issue Amount (Rs.cr.),Market Cap (IPO) (Rs.cr.),Market Cap on Close Price on Listing (Rs.cr.),% Gain / loss on Listing,Wealth creation w.r.t. Close Price on Listing (%),Opening Date,Issue Price (Rs.),QIB,NII,RII,TOTAL,Open Price on Listing (Rs.),Close Price on Listing (Rs.),% Gain / Loss (Issue price v/s Close price on Listing),ISSUE_START_Nifty_OPEN,ISSUE_START_Nifty_CLOSE,ISSUE_START_Nifty_HIGH,ISSUE_START_Nifty_LOW,ISSUE_END_Nifty_OPEN,ISSUE_END_Nifty_CLOSE,ISSUE_END_Nifty_HIGH,ISSUE_END_Nifty_LOW
BELRISE INDUSTRIES,EQ,BELRISE,2025-05-21,2025-05-23,90,85,5,2025-05-28,2150.0,8008.91,8668.31,8.23,64.15,2025-05-21,90.0,0.98,40.78,4.4,8.15,100.0,97.41,8.23,24744.25,24813.45,24946.2,24685.35,24639.5,24853.15,24909.05,24614.05
ATHER ENERGY,EQ,ATHERENERG,2025-04-28,2025-04-30,321,304,17,2025-05-06,2980.76,11955.96,11259.46,-5.83,113.4,2025-04-28,321.0,1.3,0.68,1.76,1.26,328.0,302.3,-5.83,24070.25,24328.5,24355.1,24054.05,24342.05,24334.2,24396.15,24198.75
QUALITY POWER ELECTRICAL EQUIPMENTS,EQ,QPOWER,2025-02-14,2025-02-18,425,401,24,2025-02-24,858.7,3291.37,3004.06,-8.73,80.87,2025-02-14,425.0,1.01,0.77,1.72,1.05,430.0,387.9,-8.73,23096.45,22929.25,23133.7,22774.85,22963.65,22945.3,22992.5,22801.5
HEXAWARE TECHNOLOGIES,EQ,HEXT,2025-02-12,2025-02-14,708,674,34,2025-02-19,8750.0,43024.78,46339.76,7.7,-0.09,2025-02-12,708.0,4.42,0.21,0.1,2.25,745.5,762.55,7.7,23050.8,23045.25,23144.7,22798.35,23096.45,22929.25,23133.7,22774.85
AJAX ENGINEERING,EQ,AJAXENGG,2025-02-10,2025-02-12,629,599,30,2025-02-17,1268.93,7196.19,6811.78,-5.34,1.13,2025-02-10,629.0,6.46,6.41,1.89,4.84,576.0,595.4,-5.34,23543.8,23381.6,23568.6,23316.3,23050.8,23045.25,23144.7,22798.35
DR. AGARWAL'S HEALTH CARE,EQ,AGARWALEYE,2025-01-29,2025-01-31,402,382,20,2025-02-04,3027.26,12698.37,12687.31,-0.09,25.92,2025-01-29,402.0,2.48,0.37,0.39,1.39,402.0,401.65,-0.09,23026.75,23163.1,23183.35,22976.5,23296.75,23508.4,23546.8,23277.4
LAXMI DENTAL,EQ,LAXMIDENTL,2025-01-13,2025-01-15,428,407,21,2025-01-20,698.06,2352.38,3025.94,28.63,-51.46,2025-01-13,428.0,44.6,147.44,75.35,63.1,542.0,550.55,28.63,23195.4,23085.95,23340.95,23047.25,23250.45,23213.2,23293.65,23146.45
QUADRANT FUTURE TEK,EQ,QUADFUTURE,2025-01-07,2025-01-09,290,275,15,2025-01-14,290.0,1160.0,1776.0,53.1,-39.71,2025-01-07,290.0,56.72,265.68,256.63,108.05,370.0,444.0,53.1,23679.9,23707.9,23795.2,23637.8,23674.75,23526.5,23689.5,23503.05
STANDARD GLASS LINING TECHNOLOGY,EQ,SGLTL,2025-01-06,2025-01-08,140,133,7,2025-01-13,410.05,2792.88,3258.7,16.68,-4.08,2025-01-06,140.0,131.6,273.52,65.72,129.83,176.0,163.35,16.68,24045.8,23616.05,24089.95,23551.9,23746.65,23688.95,23751.85,23496.15
INDO FARM EQUIPMENT,EQ,INDOFARM,2024-12-31,2025-01-02,215,204,11,2025-01-07,260.15,1033.11,1334.87,29.21,-31.35,2024-12-31,215.0,97.11,498.49,102.57,159.23,276.44,277.8,29.21,23560.6,23644.8,23689.85,23460.45,23783.0,24188.65,24226.7,23751.55
UNIMECH AEROSPACE AND MANUFACTURING,EQ,UNIMECH,2024-12-23,2024-12-26,785,745,40,2024-12-31,500.0,3992.27,6999.18,75.32,-31.39,2024-12-23,785.0,133.73,275.23,57.86,128.02,1460.0,1376.25,75.32,23738.2,23753.45,23869.55,23647.2,23775.8,23750.2,23854.5,23653.6
CARRARO INDIA,EQ,CARRARO,2024-12-20,2024-12-24,704,668,36,2024-12-30,1250.0,4002.35,3616.89,-9.63,-14.63,2024-12-20,704.0,1.56,0.59,0.72,1.12,651.0,636.2,-9.63,23960.7,23587.5,24065.8,23537.35,23769.1,23727.65,23867.65,23685.15
